v12,v13,v14,v23,v24,v34,c
3.0482e+06,2.2342e+06,2.1205e+06,1.9853e+06,2.1258e+06,1.6845e+06,4
4.0782e+06,2.65e+06,2.6346e+06,2.4105e+06,2.7581e+06,2.378e+06,3
3.0292e+06,1.8351e+06,2.1508e+06,1.6776e+06,1.9257e+06,1.5123e+06,3
3.7468e+06,3.7237e+06,3.1856e+06,3.7008e+06,3.4541e+06,2.7186e+06,4
4.3695e+06,2.7884e+06,3.2385e+06,2.5443e+06,2.974e+06,2.3871e+06,3
7.1938e+06,6.304e+06,4.152e+06,6.7477e+06,4.0044e+06,3.3126e+06,4
5.5935e+06,3.1407e+06,4.9621e+06,3.1434e+06,3.8168e+06,2.6372e+06,3
2.7946e+06,2.6004e+06,2.4156e+06,2.1837e+06,1.8312e+06,2.0591e+06,2
3.9236e+06,2.7244e+06,2.6988e+06,2.6345e+06,2.4707e+06,2.2419e+06,3
5.7276e+06,5.4244e+06,5.4405e+06,5.3913e+06,5.5136e+06,4.9194e+06,1
4.3623e+06,3.2605e+06,2.9851e+06,3.6456e+06,2.9763e+06,2.5025e+06,4
6.3211e+06,5.2448e+06,5.5432e+06,5.2103e+06,5.0365e+06,4.6433e+06,2
4.8606e+06,2.352e+06,2.8499e+06,2.2529e+06,3.0132e+06,2.2053e+06,3
2.5551e+06,2.224e+06,1.7094e+06,2.1716e+06,2.0136e+06,1.6942e+06,4
2.5006e+06,1.8013e+06,2.1353e+06,2.4722e+06,2.3845e+06,1.7407e+06,1
3.4984e+06,2.6233e+06,2.8648e+06,3.3143e+06,3.3129e+06,3.3013e+06,1
3.3649e+06,2.4793e+06,2.6662e+06,2.4903e+06,2.5562e+06,2.3336e+06,1
2.1144e+06,1.6955e+06,1.5578e+06,1.8316e+06,1.5347e+06,1.9136e+06,1
3.8101e+06,3.0648e+06,3.0326e+06,3.0916e+06,3.2125e+06,3.2036e+06,1
5.7084e+06,4.1385e+06,3.4198e+06,3.925e+06,2.9163e+06,2.4415e+06,4
4.0421e+06,3.8371e+06,4.1468e+06,3.0886e+06,2.671e+06,3.3632e+06,2
5.1805e+06,3.06e+06,3.8227e+06,2.8e+06,3.7333e+06,2.2297e+06,3
3.5897e+06,3.2449e+06,1.9584e+06,3.4963e+06,1.891e+06,1.8254e+06,4
3.4689e+06,2.8877e+06,2.5377e+06,2.8796e+06,2.2156e+06,1.892e+06,4
3.7668e+06,3.0816e+06,3.0493e+06,2.4148e+06,2.8855e+06,2.565e+06,2
5.2103e+06,4.9873e+06,4.5837e+06,4.2491e+06,5.7119e+06,4.6146e+06,1
5.1482e+06,4.4658e+06,3.9574e+06,3.9669e+06,4.1432e+06,3.5735e+06,4
3.6672e+06,4.2215e+06,3.6789e+06,2.6048e+06,2.6133e+06,3.4518e+06,2
3.2277e+06,2.1436e+06,2.2137e+06,2.1016e+06,1.9115e+06,2.0531e+06,2
1.1425e+07,7.7459e+06,9.7508e+06,7.5386e+06,6.6209e+06,7.0349e+06,2
3.5177e+06,2.4488e+06,2.4846e+06,2.3498e+06,2.0517e+06,1.8405e+06,4
1.3143e+07,6.1061e+06,1.0129e+07,6.6762e+06,9.6295e+06,5.5689e+06,3
7.4173e+06,8.4848e+06,4.9841e+06,6.122e+06,4.553e+06,4.8641e+06,4
4.3007e+06,2.9309e+06,2.7461e+06,2.6301e+06,2.9952e+06,2.2202e+06,3
6.0698e+06,2.095e+06,3.1077e+06,2.0001e+06,3.3629e+06,1.794e+06,3
3.8454e+06,2.4629e+06,2.4665e+06,3.1223e+06,2.9786e+06,2.0575e+06,4
9.3282e+06,3.6031e+06,6.3948e+06,3.3208e+06,5.5641e+06,3.1579e+06,3
